City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Paamiut,GL,61.994,-49.6678,28.81,92,100,0.51,overcast clouds
284,Vestmannaeyjar,IS,63.4427,-20.2734,29.57,64,24,27.47,few clouds
285,Sao Sebastiao,BR,-23.76,-45.4097,73.4,93,91,4.41,overcast clouds
286,Linares,CL,-35.85,-71.6,60.06,39,8,4.47,clear sky
287,Tocopilla,CL,-22.092,-70.1979,71.2,58,91,7.36,overcast clouds
288,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.96,99,100,4.09,overcast clouds
289,Shenjiamen,CN,29.9576,122.298,60.55,76,54,3.38,broken clouds
290,Walvis Bay,NA,-22.9575,14.5053,57.09,79,2,11.07,clear sky
291,Kisangani,CD,0.5167,25.2,70.16,97,90,1.57,light rain
292,Berlevag,NO,70.8578,29.0864,30.0,87,100,28.77,light snow
293,Ostrovnoy,RU,68.0531,39.5131,22.08,90,100,15.84,overcast clouds
294,Houston,US,29.7633,-95.3633,80.29,81,40,11.5,haze
295,Mackay,AU,-21.15,149.2,88.68,62,57,12.5,broken clouds
296,Port Antonio,JM,18.18,-76.4612,77.99,85,16,9.89,few clouds
297,Evensk,RU,61.95,159.2333,21.0,68,6,3.38,clear sky
298,Gondanglegi,ID,-7.7479,112.0132,83.07,73,100,10.2,overcast clouds
299,Nuh,IN,28.1167,77.0167,83.12,8,54,3.53,broken clouds
300,Bose,IT,45.4612,8.0137,47.75,72,4,2.75,clear sky
301,Simpang,ID,-1.2667,104.0833,83.44,68,100,2.89,overcast clouds
302,Marawi,PH,7.9986,124.2928,67.75,98,100,1.05,moderate rain
303,Bodegraven,NL,52.0825,4.75,50.05,75,99,8.99,overcast clouds
304,Verkhoyansk,RU,67.5447,133.385,1.22,85,96,2.55,overcast clouds
305,Ambilobe,MG,-13.2,49.05,72.95,96,76,2.3,broken clouds
306,Maracas,BR,-13.4411,-40.4308,64.0,90,2,6.2,clear sky
307,Mirnyy,RU,62.5353,113.9611,14.23,56,99,4.0,overcast clouds
308,Solnechnyy,RU,50.7214,136.6319,27.99,71,100,11.95,light snow
309,Jupiter,US,26.9342,-80.0942,79.09,88,35,3.0,scattered clouds
310,Nouadhibou,MR,20.931,-17.0347,62.92,74,0,27.02,clear sky
