City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
242,Puerto Carreno,CO,77.2,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
250,Moree,AU,75.09,broken clouds,-29.4667,149.85,Molika Springs Motel
251,Galveston,US,76.03,overcast clouds,29.3669,-94.9669,Crystal Suites
252,Sabha,LY,83.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
257,Banjar,ID,86.11,broken clouds,-8.19,114.9675,The Hamsa Resort
262,Magdalena,PH,85.35,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
265,Banda Aceh,ID,80.19,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
270,Razole,IN,82.31,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
271,Meulaboh,ID,80.19,overcast clouds,4.1363,96.1285,Kost Pria
276,Baturaja,ID,81.86,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
282,Luganville,VU,86.14,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
294,Houston,US,80.29,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
295,Mackay,AU,88.68,broken clouds,-21.15,149.2,International Lodge Motel
296,Port Antonio,JM,77.99,few clouds,18.18,-76.4612,The Trident Hotel
298,Gondanglegi,ID,83.07,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
299,Nuh,IN,83.12,broken clouds,28.1167,77.0167,Irfan.HOTEL.BAIPAS.NUH
309,Jupiter,US,79.09,scattered clouds,26.9342,-80.0942,Jupiter Beach Resort & Spa
312,Kavaratti,IN,83.19,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
314,Dhaka,BD,84.18,haze,23.7104,90.4074,Hotel Pacific
329,Vanimo,PG,86.47,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
330,Muisne,EC,77.67,overcast clouds,0.6,-80.0333,Quinta Samay
339,Tuy Hoa,VN,75.87,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
343,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
344,Kirakira,SB,80.53,overcast clouds,-10.4544,161.9205,SanBiz Lodge
346,Doembang Nangbuat,TH,89.83,few clouds,14.8333,100.1,ธาราริน วิลล่า
351,Stephenville,US,81.16,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
360,Mayumba,GA,76.95,overcast clouds,-3.432,10.6554,LIKWALE LODGE
361,Tura,IN,76.05,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
364,Tual,ID,82.78,clear sky,-5.6667,132.75,Grand Vilia Hotel
368,Honiara,SB,80.2,overcast clouds,-9.4333,159.95,Heritage Park Hotel
371,Recife,BR,82.44,scattered clouds,-8.0539,-34.8811,Recife Plaza Hotel
374,La Fria,VE,84.31,overcast clouds,8.2203,-72.2439,Estacionamiento de los toledos.
385,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
389,Sinnamary,GF,77.22,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
390,Amuntai,ID,84.94,overcast clouds,-2.4177,115.2494,Hotel Balqis
391,Bonthe,SL,77.13,few clouds,7.5264,-12.505,Bonthe Holiday Village
392,Kieta,PG,82.89,light rain,-6.2167,155.6333,Uruna Bay Retreat
393,Bobon,PH,81.73,overcast clouds,12.5246,124.5636,Fisherville
395,Araceli,PH,82.8,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
398,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
399,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
